Bankrupt?, Persistent EPS in the Last Four Seasons, Operating Profit Growth Rate, Total Asset Growth Rate, Cash Reinvestment %, Debt ratio %, Inventory Turnover Rate (times), Current Liability to Assets, Total income/Total expense, Equity to Long-term Liability, Cash Flow to Equity, Current Liability to Current Assets, Gross Profit to Sales, Equity to Liability
1,0.169140588,0.848194995,4980000000.0,0.363725271,0.207576261,0.000182093,0.14730845,0.002021613,0.126549488,0.312904948,0.118250477,0.60145329,0.016468741
1,0.208943935,0.848087884,6110000000.0,0.376709139,0.171176346,9360000000.0,0.056962827,0.002225608,0.120916106,0.314163135,0.047775282,0.610236526,0.020794306
1,0.180580505,0.848094013,7280000000.0,0.36891323,0.207515796,65000000.0,0.098162065,0.002060071,0.117922319,0.314515426,0.025346489,0.60144934,0.016474114
1,0.193722227,0.848005477,4880000000.0,0.384076599,0.151464764,7130000000.0,0.09871463,0.001831359,0.120760455,0.302382255,0.067249617,0.583537612,0.023982332
1,0.212536636,0.848258202,5510000000.0,0.379689654,0.106509055,0.000163367,0.110194846,0.00222393,0.110933234,0.311567161,0.047725372,0.59878151,0.035490201
1,0.174435095,0.847982832,608000000.0,0.388025781,0.180427487,650000000.0,0.139002106,0.001865609,0.112917172,0.313268472,0.099521933,0.590172327,0.019534478
0,0.161482462,0.848322469,5720000000.0,0.375302709,0.216101823,0.00016203,0.115920412,0.002120736,0.120561366,0.310296438,0.060765125,0.619948867,0.015663075
0,0.225205635,0.848082155,6630000000.0,0.384234939,0.108202074,0.000199098,0.087041801,0.002359999,0.114507969,0.314363648,0.030201105,0.60173934,0.034888556
0,0.218398412,0.848158762,6890000000.0,0.377994486,0.058590561,0.000304188,0.058059728,0.00227396,0.110933234,0.315376064,0.021710461,0.603613451,0.065826497
0,0.217831143,0.848083508,5550000000.0,0.3900842,0.121292741,0.000205977,0.094563303,0.002269196,0.115498978,0.314645153,0.025494302,0.599205074,0.030800865
0,0.21896568,0.848238168,747000000.0,0.374278157,0.103576503,0.000156298,0.032086803,0.002337657,0.120942627,0.314569209,0.047166348,0.614021193,0.036571691
0,0.20468942,0.847937105,5730000000.0,0.379941135,0.094385827,655000000.0,0.047994813,0.002256752,0.116458578,0.314791345,0.033711602,0.623709203,0.04038102
0,0.219343859,0.849688192,7220000000.0,0.381571104,0.144662454,0.000100504,0.0956719,0.00227305,0.116955695,0.312178873,0.04351399,0.608125444,0.02528172
